time,PriceUSD,CapMrktCurUSD,NVTAdj,VelCur1yr,AdrActCnt,TxCnt,TxTfrValAdjUSD,SplyCur,HashRate,fast_ema,slow_ema
2021-02-01 00:00:00+00:00,33570.27,624961266006.23,66.65,11.37,999221.0,283467.0,9376649643.22,18616508.94,123182058.43,33570.27,33570.27
2021-02-02 00:00:00+00:00,35596.15,662710063272.54,80.52,11.35,1202183.0,363397.0,8230548959.05,18617465.19,158376932.26,34920.85666666667,34618.30177642063
2021-02-03 00:00:00+00:00,37578.37,699649284857.64,78.47,11.34,1187019.0,345764.0,8916454890.23,18618402.69,155271502.22,36439.43571428572,35674.11772257878
2021-02-04 00:00:00+00:00,37129.2,691323581111.57,62.34,11.35,1226684.0,367536.0,11089516088.64,18619402.69,165622935.53,36807.310000000005,36076.53705162569
2021-02-05 00:00:00+00:00,38045.41,708423060288.52,66.53,11.32,1257476.0,360061.0,10648542099.65,18620458.9,174939225.67,37446.32935483871,36526.69950991295
2021-02-06 00:00:00+00:00,39341.73,732600102916.44,97.04,11.31,1147256.0,328082.0,7549238681.08,18621452.52,169173097.29,38409.072539682544,37080.752007034316
2021-02-07 00:00:00+00:00,39003.01,726330767434.79,108.47,11.3,1159518.0,286807.0,6696322254.8,18622427.52,166219497.49,38708.37960629922,37415.607783639665
2021-02-08 00:00:00+00:00,46121.93,858949072826.59,58.02,11.32,1249543.0,340919.0,14804646514.06,18623440.02,172612555.62,42429.69117647059,38785.36046054012
2021-02-09 00:00:00+00:00,46548.16,866928505326.46,50.64,11.33,1174227.0,359788.0,17119713369.2,18624333.77,152367873.85,44492.95540117417,39905.456560954415
2021-02-10 00:00:00+00:00,45078.13,839590396720.43,67.45,11.33,1191329.0,340736.0,12448274079.72,18625227.52,152367873.85,44785.828709677415,40598.25349289421
2021-02-11 00:00:00+00:00,47892.84,892053672305.53,79.17,11.33,1052110.0,301861.0,11267720069.49,18626033.77,137450738.22,46340.09327308256,41513.926859515836
2021-02-12 00:00:00+00:00,47525.21,885248328501.29,64.82,11.32,1157108.0,347247.0,13655973031.49,18626921.26,151302363.4,46932.79633943834,42226.76558582173
2021-02-13 00:00:00+00:00,47208.63,879397542244.09,138.54,11.3,1217682.0,333184.0,6347529009.86,18627899.92,167285007.95,47070.73000732512,42788.53570493336
2021-02-14 00:00:00+00:00,48829.83,909642134133.66,141.37,11.29,1122976.0,297041.0,6434399375.39,18628821.37,157695421.52,47950.33369041079,43439.93868211794
2021-02-15 00:00:00+00:00,48110.24,896282713832.77,100.88,11.28,1140491.0,312281.0,8885062247.06,18629769.49,161957460.28,48030.289285256506,43923.746785260904
2021-02-16 00:00:00+00:00,49140.38,915511120381.02,87.97,11.26,989854.0,293716.0,10456701680.34,18630524.85,128926662.25,48585.34311207751,44445.057513309395
2021-02-17 00:00:00+00:00,52224.94,973022997734.07,65.33,11.26,1134666.0,318209.0,14894535585.73,18631385.97,147040324.65,50405.15544010499,45197.708476891414
2021-02-18 00:00:00+00:00,51650.07,962356492673.06,72.23,11.24,1138881.0,317446.0,13323774997.04,18632239.87,145974815.72,51027.61509454763,45803.88123940198
