Date,S&P_Close,S&P_Daily_Ret,DJI_Close,DJI_Daily_Ret,NDX_Close,NDX_Daily_Ret,ETH_Close,ETH_Daily_Ret,BTC_Close,BTC_Daily_Ret
2017-11-10,2582.3,-0.0,23422.21,-0.0,6309.07,-0.0,299.25,-0.07,6618.14,-0.07
2017-11-11,2582.3,0.0,23422.21,0.0,6309.07,0.0,314.68,0.05,6357.6,-0.04
2017-11-12,2582.3,0.0,23422.21,0.0,6309.07,0.0,307.91,-0.02,5950.07,-0.06
2017-11-13,2584.84,0.0,23439.7,0.0,6316.18,0.0,316.72,0.03,6559.49,0.1
2017-11-14,2578.87,-0.0,23409.47,-0.0,6293.64,-0.0,337.63,0.07,6635.75,0.01
2017-11-15,2564.62,-0.01,23271.28,-0.01,6258.36,-0.01,333.36,-0.01,7315.54,0.1
2017-11-16,2585.64,0.01,23458.36,0.01,6339.14,0.01,330.92,-0.01,7871.69,0.08
2017-11-17,2578.85,-0.0,23358.24,-0.0,6314.51,-0.0,332.39,0.0,7708.99,-0.02
2017-11-18,2578.85,0.0,23358.24,0.0,6314.51,0.0,347.61,0.05,7790.15,0.01
2017-11-19,2578.85,0.0,23358.24,0.0,6314.51,0.0,354.39,0.02,8036.49,0.03
2017-11-20,2582.14,0.0,23430.33,0.0,6308.61,-0.0,366.73,0.03,8200.64,0.02
2017-11-21,2599.03,0.01,23590.83,0.01,6378.63,0.01,360.4,-0.02,8071.26,-0.02
2017-11-22,2597.08,-0.0,23526.18,-0.0,6386.12,0.0,380.65,0.06,8253.55,0.02
2017-11-23,2597.08,0.0,23526.18,0.0,6386.12,0.0,410.17,0.08,8038.77,-0.03
2017-11-24,2602.42,0.0,23557.99,0.0,6409.29,0.0,474.91,0.16,8253.69,0.03
2017-11-25,2602.42,0.0,23557.99,0.0,6409.29,0.0,466.28,-0.02,8790.92,0.07
2017-11-26,2602.42,0.0,23557.99,0.0,6409.29,0.0,471.33,0.01,9330.55,0.06
2017-11-27,2601.42,-0.0,23580.78,0.0,6405.97,-0.0,480.36,0.02,9818.35,0.05
2017-11-28,2627.04,0.01,23836.71,0.01,6422.56,0.0,472.9,-0.02,10058.8,0.02
2017-11-29,2626.07,-0.0,23940.68,0.0,6311.38,-0.02,427.52,-0.1,9888.61,-0.02
2017-11-30,2647.58,0.01,24272.35,0.01,6365.56,0.01,447.11,0.05,10233.6,0.03
2017-12-01,2642.22,-0.0,24231.59,-0.0,6337.87,-0.0,466.54,0.04,10975.6,0.07
2017-12-02,2642.22,0.0,24231.59,0.0,6337.87,0.0,463.45,-0.01,11074.6,0.01
2017-12-03,2642.22,0.0,24231.59,0.0,6337.87,0.0,465.85,0.01,11323.2,0.02
2017-12-04,2639.44,-0.0,24290.05,0.0,6263.7,-0.01,470.2,0.01,11657.2,0.03
2017-12-05,2629.57,-0.0,24180.64,-0.0,6265.11,0.0,463.28,-0.01,11916.7,0.02
2017-12-06,2629.27,-0.0,24140.91,-0.0,6293.05,0.0,428.59,-0.07,14291.5,0.2
2017-12-07,2636.98,0.0,24211.48,0.0,6316.28,0.0,434.41,0.01,17899.7,0.25
2017-12-08,2651.5,0.01,24329.16,0.0,6344.57,0.0,456.03,0.05,16569.4,-0.07
2017-12-09,2651.5,0.0,24329.16,0.0,6344.57,0.0,473.5,0.04,15178.2,-0.08
2017-12-10,2651.5,0.0,24329.16,0.0,6344.57,0.0,441.72,-0.07,15455.4,0.02
2017-12-11,2659.99,0.0,24386.03,0.0,6393.89,0.01,515.14,0.17,16936.8,0.1
