date,bitcoin
2021-01-01,42
2021-01-02,67
2021-01-03,78
2021-01-04,69
2021-01-05,55
2021-01-06,64
2021-01-07,93
2021-01-08,89
2021-01-09,70
2021-01-10,67
2021-01-11,100
2021-01-12,79
2021-01-13,66
2021-01-14,69
2021-01-15,61
2021-01-16,51
2021-01-17,47
2021-01-18,45
2021-01-19,44
2021-01-20,43
2021-01-21,51
2021-01-22,57
2021-01-23,40
2021-01-24,38
2021-01-25,39
2021-01-26,37
2021-01-27,41
2021-01-28,41
2021-01-29,68
2021-01-30,47
2021-01-31,39
2021-02-01,41
2021-02-02,38
2021-02-03,40
2021-02-04,41
2021-02-05,38
2021-02-06,44
2021-02-07,39
2021-02-08,85
2021-02-09,98
2021-02-10,68
2021-02-11,65
2021-02-12,59
2021-02-13,50
2021-02-14,56
2021-02-15,54
2021-02-16,62
2021-02-17,71
2021-02-18,64
2021-02-19,72
2021-02-20,80
2021-02-21,71
2021-02-22,80
2021-02-23,94
2021-02-24,72
2021-02-25,62
2021-02-26,61
2021-02-27,50
2021-02-28,55
2021-03-01,56
2021-03-02,48
2021-03-03,46
2021-03-04,45
2021-03-05,44
2021-03-06,36
2021-03-07,40
2021-03-08,40
2021-03-09,48
2021-03-10,48
2021-03-11,45
2021-03-12,45
2021-03-13,56
2021-03-14,55
2021-03-15,51
2021-03-16,47
2021-03-17,45
2021-03-18,47
2021-03-19,40
2021-03-20,36
2021-03-21,39
2021-03-22,40
2021-03-23,40
2021-03-24,45
2021-03-25,49
2021-03-26,41
2021-03-27,38
2021-03-28,36
2021-03-29,38
2021-03-30,44
2021-03-31,41
2021-04-01,34
2021-04-02,31
2021-04-03,27
2021-04-04,26
2021-04-05,28
2021-04-06,27
2021-04-07,27
2021-04-08,26
2021-04-09,24
2021-04-10,27
2021-04-11,27
2021-04-12,27
2021-04-13,37
2021-04-14,41
2021-04-15,36
2021-04-16,39
2021-04-17,32
2021-04-18,54
2021-04-19,43
2021-04-20,39
2021-04-21,33
2021-04-22,36
2021-04-23,56
2021-04-24,41
2021-04-25,36
2021-04-26,38
2021-04-27,35
2021-04-28,33
2021-04-29,29
2021-04-30,29
2021-05-01,28
2021-05-02,25
2021-05-03,29
2021-05-04,31
2021-05-05,30
2021-05-06,30
2021-05-07,27
2021-05-08,27
2021-05-09,30
2021-05-10,30
2021-05-11,28
2021-05-12,30
2021-05-13,69
2021-05-14,44
2021-05-15,36
2021-05-16,38
2021-05-17,54
2021-05-18,43
2021-05-19,100
2021-05-20,79
2021-05-21,62
2021-05-22,53
2021-05-23,63
2021-05-24,59
2021-05-25,47
2021-05-26,41
2021-05-27,36
2021-05-28,38
2021-05-29,36
2021-05-30,34
2021-05-31,33
2021-06-01,34
2021-06-02,34
2021-06-03,32
2021-06-04,35
2021-06-05,31
2021-06-06,33
2021-06-07,32
2021-06-08,42
2021-06-09,40
2021-06-10,35
2021-06-11,30
2021-06-12,26
2021-06-13,27
2021-06-14,34
2021-06-15,29
2021-06-16,26
2021-06-17,24
2021-06-18,25
2021-06-19,22
2021-06-20,24
2021-06-21,34
2021-06-22,45
2021-06-23,33
2021-06-24,28
2021-06-25,29
2021-06-26,27
2021-06-27,25
2021-06-28,27
2021-06-29,25
2021-06-30,24
2021-07-01,62
2021-07-02,59
2021-07-03,56
2021-07-04,57
