date,ethereum
2021-01-01,30
2021-01-02,41
2021-01-03,80
2021-01-04,95
2021-01-05,76
2021-01-06,80
2021-01-07,100
2021-01-08,89
2021-01-09,79
2021-01-10,88
2021-01-11,87
2021-01-12,65
2021-01-13,54
2021-01-14,57
2021-01-15,53
2021-01-16,53
2021-01-17,44
2021-01-18,45
2021-01-19,75
2021-01-20,68
2021-01-21,58
2021-01-22,57
2021-01-23,47
2021-01-24,51
2021-01-25,66
2021-01-26,52
2021-01-27,54
2021-01-28,52
2021-01-29,66
2021-01-30,55
2021-01-31,48
2021-02-01,45
2021-02-02,63
2021-02-03,85
2021-02-04,88
2021-02-05,78
2021-02-06,79
2021-02-07,74
2021-02-08,88
2021-02-09,98
2021-02-10,76
2021-02-11,71
2021-02-12,70
2021-02-13,70
2021-02-14,71
2021-02-15,66
2021-02-16,67
2021-02-17,69
2021-02-18,80
2021-02-19,82
2021-02-20,98
2021-02-21,83
2021-02-22,82
2021-02-23,100
2021-02-24,74
2021-02-25,59
2021-02-26,62
2021-02-27,53
2021-02-28,66
2021-03-01,55
2021-03-02,54
2021-03-03,55
2021-03-04,44
2021-03-05,43
2021-03-06,45
2021-03-07,49
2021-03-08,54
2021-03-09,61
2021-03-10,53
2021-03-11,52
2021-03-12,47
2021-03-13,61
2021-03-14,61
2021-03-15,49
2021-03-16,49
2021-03-17,45
2021-03-18,41
2021-03-19,46
2021-03-20,46
2021-03-21,45
2021-03-22,44
2021-03-23,40
2021-03-24,44
2021-03-25,43
2021-03-26,37
2021-03-27,34
2021-03-28,33
2021-03-29,45
2021-03-30,46
2021-03-31,44
2021-04-01,28
2021-04-02,41
2021-04-03,35
2021-04-04,30
2021-04-05,31
2021-04-06,30
2021-04-07,29
2021-04-08,24
2021-04-09,23
2021-04-10,28
2021-04-11,27
2021-04-12,26
2021-04-13,36
2021-04-14,40
2021-04-15,42
2021-04-16,45
2021-04-17,34
2021-04-18,43
2021-04-19,36
2021-04-20,32
2021-04-21,33
2021-04-22,39
2021-04-23,40
2021-04-24,30
2021-04-25,27
2021-04-26,33
2021-04-27,35
2021-04-28,39
2021-04-29,39
2021-04-30,38
2021-05-01,43
2021-05-02,45
2021-05-03,78
2021-05-04,83
2021-05-05,73
2021-05-06,74
2021-05-07,56
2021-05-08,65
2021-05-09,75
2021-05-10,89
2021-05-11,70
2021-05-12,73
2021-05-13,89
2021-05-14,66
2021-05-15,53
2021-05-16,53
2021-05-17,64
2021-05-18,55
2021-05-19,100
2021-05-20,78
2021-05-21,62
2021-05-22,60
2021-05-23,70
2021-05-24,65
2021-05-25,54
2021-05-26,52
2021-05-27,46
2021-05-28,45
2021-05-29,43
2021-05-30,43
2021-05-31,38
2021-06-01,42
2021-06-02,37
2021-06-03,38
2021-06-04,34
2021-06-05,31
2021-06-06,32
2021-06-07,33
2021-06-08,39
2021-06-09,33
2021-06-10,30
2021-06-11,26
2021-06-12,24
2021-06-13,24
2021-06-14,28
2021-06-15,26
2021-06-16,26
2021-06-17,22
2021-06-18,24
2021-06-19,22
2021-06-20,25
2021-06-21,35
2021-06-22,38
2021-06-23,29
2021-06-24,25
2021-06-25,28
2021-06-26,23
2021-06-27,26
2021-06-28,27
2021-06-29,29
2021-06-30,23
2021-07-01,54
2021-07-02,47
2021-07-03,51
2021-07-04,62
2021-07-05,50
2021-07-06,57
2021-07-07,51
2021-07-08,54
2021-07-09,56
2021-07-10,46
2021-07-11,41
2021-07-12,42
2021-07-13,47
2021-07-14,52
2021-07-15,52
2021-07-16,48
2021-07-17,42
2021-07-18,45
2021-07-19,50
2021-07-20,57
2021-07-21,53
2021-07-22,58
2021-07-23,49
2021-07-24,55
2021-07-25,50
2021-07-26,81
2021-07-27,56
2021-07-28,59
2021-07-29,51
2021-07-30,54
2021-07-31,58
2021-08-01,68
2021-08-02,65
2021-08-03,62
2021-08-04,74
2021-08-05,93
2021-08-06,87
2021-08-07,100
2021-08-08,96
2021-08-09,91
2021-08-10,86
2021-08-11,85
2021-08-12,80
2021-08-13,78
2021-08-14,68
2021-08-15,66
2021-08-16,77
2021-08-17,65
2021-08-18,64
2021-08-19,63
2021-08-20,68
2021-08-21,60
2021-08-22,58
2021-08-23,73
2021-08-24,67
2021-08-25,60
2021-08-26,52
2021-08-27,58
2021-08-28,53
2021-08-29,53
2021-08-30,52
2021-08-31,63
2021-09-01,83
2021-09-02,87
2021-09-03,96
2021-09-04,78
2021-09-05,77
2021-09-06,73
2021-09-07,88
2021-09-08,80
2021-09-09,69
2021-09-10,62
2021-09-11,56
2021-09-12,56
2021-09-13,53
2021-09-14,53
2021-09-15,53
2021-09-16,61
2021-09-17,52
2021-09-18,54
2021-09-19,45
2021-09-20,65
2021-09-21,62
2021-09-22,57
2021-09-23,58
2021-09-24,62
2021-09-25,43
2021-09-26,40
2021-09-27,52
2021-09-28,50
2021-09-29,46
2021-09-30,47
2021-10-01,60
2021-10-02,51
2021-10-03,51
2021-10-04,53
2021-10-05,56
2021-10-06,65
2021-10-07,60
2021-10-08,57
2021-10-09,53
2021-10-10,50
2021-10-11,53
2021-10-12,53
2021-10-13,48
2021-10-14,65
2021-10-15,78
2021-10-16,66
2021-10-17,55
2021-10-18,61
2021-10-19,59
2021-10-20,82
2021-10-21,97
2021-10-22,76
2021-10-23,65
2021-10-24,59
2021-10-25,67
2021-10-26,71
2021-10-27,68
2021-10-28,74
2021-10-29,90
2021-10-30,72
2021-10-31,72
2021-11-01,71
2021-11-02,82
2021-11-03,90
2021-11-04,78
2021-11-05,71
2021-11-06,63
2021-11-07,70
2021-11-08,100
2021-11-09,100
2021-11-10,90
2021-11-11,75
2021-11-12,80
2021-11-13,66
2021-11-14,66
2021-11-15,75
2021-11-16,89
2021-11-17,76
2021-11-18,80
2021-11-19,78
2021-11-20,67
2021-11-21,58
2021-11-22,62
2021-11-23,67
2021-11-24,63
2021-11-25,62
2021-11-26,70
2021-11-27,65
2021-11-28,62
2021-11-29,65
2021-11-30,79
2021-12-01,78
2021-12-02,64
2021-12-03,64
2021-12-04,93
2021-12-05,76
2021-12-06,71
2021-12-07,71
2021-12-08,59
2021-12-09,62
2021-12-10,63
2021-12-11,60
2021-12-12,51
2021-12-13,67
2021-12-14,72
2021-12-15,63
2021-12-16,58
2021-12-17,67
2021-12-18,55
2021-12-19,53
2021-12-20,62
2021-12-21,59
2021-12-22,54
2021-12-23,54
2021-12-24,56
2021-12-25,53
2021-12-26,52
2021-12-27,57
2021-12-28,56
2021-12-29,59
2021-12-30,57
2021-12-31,53
