date,ethereum
2016-01-01,8
2016-01-02,4
2016-01-03,4
2016-01-04,5
2016-01-05,8
2016-01-06,8
2016-01-07,8
2016-01-08,7
2016-01-09,2
2016-01-10,5
2016-01-11,13
2016-01-12,5
2016-01-13,10
2016-01-14,7
2016-01-15,17
2016-01-16,9
2016-01-17,5
2016-01-18,11
2016-01-19,20
2016-01-20,13
2016-01-21,22
2016-01-22,10
2016-01-23,20
2016-01-24,37
2016-01-25,34
2016-01-26,35
2016-01-27,16
2016-01-28,21
2016-01-29,17
2016-01-30,13
2016-01-31,11
2016-02-01,18
2016-02-02,13
2016-02-03,16
2016-02-04,17
2016-02-05,15
2016-02-06,10
2016-02-07,4
2016-02-08,31
2016-02-09,30
2016-02-10,46
2016-02-11,51
2016-02-12,68
2016-02-13,41
2016-02-14,35
2016-02-15,29
2016-02-16,26
2016-02-17,30
2016-02-18,21
2016-02-19,33
2016-02-20,18
2016-02-21,27
2016-02-22,29
2016-02-23,32
2016-02-24,27
2016-02-25,45
2016-02-26,35
2016-02-27,30
2016-02-28,35
2016-02-29,44
2016-03-01,35
2016-03-02,56
2016-03-03,81
2016-03-04,58
2016-03-05,66
2016-03-06,49
2016-03-07,59
2016-03-08,38
2016-03-09,50
2016-03-10,51
2016-03-11,60
2016-03-12,71
2016-03-13,68
2016-03-14,100
2016-03-15,78
2016-03-16,77
2016-03-17,61
2016-03-18,81
2016-03-19,37
2016-03-20,27
2016-03-21,53
2016-03-22,52
2016-03-23,49
2016-03-24,46
2016-03-25,44
2016-03-26,48
2016-03-27,33
2016-03-28,87
2016-03-29,56
2016-03-30,61
2016-03-31,67
2016-04-01,54
2016-04-02,50
2016-04-03,39
2016-04-04,48
2016-04-05,63
2016-04-06,34
2016-04-07,34
2016-04-08,38
2016-04-09,41
2016-04-10,50
2016-04-11,31
2016-04-12,61
2016-04-13,45
2016-04-14,39
2016-04-15,39
2016-04-16,25
2016-04-17,32
2016-04-18,37
2016-04-19,40
2016-04-20,16
2016-04-21,36
2016-04-22,34
2016-04-23,32
2016-04-24,41
2016-04-25,21
2016-04-26,23
2016-04-27,30
2016-04-28,35
2016-04-29,36
2016-04-30,44
2016-05-01,32
2016-05-02,40
2016-05-03,39
2016-05-04,44
2016-05-05,39
2016-05-06,21
2016-05-07,35
2016-05-08,36
2016-05-09,30
2016-05-10,42
2016-05-11,58
2016-05-12,47
2016-05-13,46
2016-05-14,33
2016-05-15,41
2016-05-16,60
2016-05-17,58
2016-05-18,85
2016-05-19,89
2016-05-20,93
2016-05-21,50
2016-05-22,76
2016-05-23,79
2016-05-24,55
2016-05-25,69
2016-05-26,68
2016-05-27,66
2016-05-28,77
2016-05-29,54
2016-05-30,42
2016-05-31,60
2016-06-01,29
2016-06-02,29
2016-06-03,26
2016-06-04,26
2016-06-05,18
2016-06-06,20
2016-06-07,29
2016-06-08,28
2016-06-09,21
2016-06-10,25
2016-06-11,24
2016-06-12,31
2016-06-13,44
2016-06-14,44
2016-06-15,35
2016-06-16,36
2016-06-17,90
2016-06-18,100
2016-06-19,56
2016-06-20,64
2016-06-21,43
2016-06-22,62
2016-06-23,42
2016-06-24,26
2016-06-25,28
2016-06-26,28
2016-06-27,25
2016-06-28,35
2016-06-29,50
2016-06-30,38
2016-07-01,27
2016-07-02,17
2016-07-03,19
2016-07-04,27
2016-07-05,28
2016-07-06,19
2016-07-07,18
