,asset,AdrActCnt,CapMVRVCur,CapMrktCurUSD,HashRate,NVTAdj,PriceUSD,SplyCur,TxCnt,TxTfrValAdjUSD,VelCur1yr,ETH_Trends
2016-01-01,eth,2433.0,2.16605632,70101158.57665172,0.48321717257061797,264.8142656,0.92037,76166279.40573001,8233.0,264718.21077706484,1.3621255746918601,8
2016-01-02,eth,2486.0,2.22649136,72383218.20974787,0.4807672336530971,370.22189736,0.94999,76193663.31198001,9164.0,195513.06588391142,1.3650535634377199,4
2016-01-03,eth,2528.0,2.23809044,72948617.97720076,0.49417513264218604,234.21166934,0.9570629281122149,76221339.09323001,9258.0,311464.48929194565,1.3694296184909098,4
2016-01-04,eth,2623.0,2.22238525,72436321.7323185,0.491669516416654,626.14100996,0.95,76248759.71823001,9474.0,115686.91489710266,1.37096134371518,5
2016-01-05,eth,2620.0,2.20757338,71898322.15799735,0.492788265556594,111.46929807,0.9426,76276598.93698001,16430.0,645005.6060256329,1.38404925938788,8
2016-01-06,eth,2743.0,2.22774819,72489013.1854435,0.49624980985480704,159.11107193,0.95,76304224.40573001,17074.0,455587.4855463607,1.3906002120891898,8
2016-01-07,eth,2788.0,2.20804468,71747363.13574612,0.473369433135996,251.82671430000002,0.939947483343074,76331246.59323001,22075.0,284907.67286751216,1.39488045644691,8
2016-01-08,eth,2696.0,2.29828206,75213854.66230029,0.497670877699048,446.00873052,0.985,76359243.31198001,10919.0,168637.62862727582,1.39698825222034,7
2016-01-09,eth,2767.0,2.26559203,74088362.58719026,0.49771831268479794,327.44139961,0.9699100455873759,76386839.09323001,11793.0,226264.4939663864,1.39990725410878,2
2016-01-10,eth,2909.0,2.3247522999999997,76414127.06198001,0.49159480017294505,659.1491771000001,1.0,76414127.06198001,10320.0,115928.426700098,1.40125697164543,5
2016-01-11,eth,3053.0,2.4620569,81861323.16336317,0.521793689302361,195.08089959,1.07090673290473,76441132.21823001,10893.0,419627.56649346196,1.4073691116840499,13
2016-01-12,eth,3070.0,2.63709005,90036108.00523773,0.507370321934664,104.26473404,1.17745,76467032.99948001,10862.0,863533.6658205081,1.41986642112107,5
2016-01-13,eth,2908.0,2.56117759,87006079.40509541,0.49129587693338594,207.78624283,1.13743,76493568.31198001,17665.0,418728.7773289825,1.42504238095496,10
2016-01-14,eth,2835.0,2.61281352,89216820.086528,0.5149549123293401,278.79295626,1.16592069608416,76520487.53073001,10653.0,320011.02640533575,1.42889646080903,7
2016-01-15,eth,3217.0,2.81991099,98814204.74270749,0.5296885246765349,99.83338549,1.29089104734074,76547284.87448001,9875.0,989791.1831178548,1.44082930412433,17
2016-01-16,eth,2774.0,2.66310578,92791374.79568987,0.5375482560578689,173.21060228,1.21179,76573807.99948001,10664.0,535714.1743871933,1.44781901331666,9
2016-01-17,eth,2667.0,2.64132391,100418299.58951904,0.5285535235146279,246.19996782,1.3109368790181202,76600407.84323001,9747.0,407872.91923678294,1.4522364301119302,5
2016-01-18,eth,3137.0,2.7990783,112353933.97018512,0.5551487435608461,39.59072445,1.46624418176505,76627027.99948001,12916.0,2837885.2758541037,1.4846579683296899,11
2016-01-19,eth,2933.0,2.61101411,103715244.37755826,0.548841034884317,85.54136506,1.3530465984804199,76653120.81198001,13420.0,1212457.2048503358,1.5003908338471899,20
2016-01-20,eth,3455.0,2.7676534,111693248.50100008,0.549097850171391,154.14082158,1.4566215300993601,76679663.31198001,10610.0,724618.2247888115,1.50772537800708,13
2016-01-21,eth,3047.0,2.8235497000000005,114746182.0751949,0.5513300294013149,189.81641027,1.49593,76705582.53073001,10734.0,604511.3903035678,1.51367639456766,22
2016-01-22,eth,3114.0,2.83956376,116632393.0467096,0.573484339420624,91.07376745,1.52,76731837.53073001,13848.0,1280636.524846814,1.5251496126530502,10
