time,asset,AdrActCnt,CapMVRVCur,CapMrktCurUSD,HashRate,NVTAdj,PriceUSD,SplyCur,TxCnt,TxTfrValAdjUSD,VelCur1yr,BTC_Trends,RSI_14,ROC_14,MFI_14,TSI_13_25_13,TSIs_13_25_13,Fast_EMA,Slow_EMA,Crossover_Long,Crossover_Short,Crossover_Signal,Daily_Return,Positive_Return
2014-10-01,btc,212669.0,1.09708972,5106312655.532709,267069.46840639104,73.75527828,382.90936586791395,13335564.785569001,79127.0,69233182.6871172,19.6918830709533,47.0,33.9687609625695,-16.091191417845906,47.723240220004556,-34.29900064854601,-33.803511362341936,472.1086715335066,519.0423728903585,0.0,-1.0,-1.0,-0.01632484350936747,0.0
2014-10-02,btc,183913.0,1.06843242,4969125807.05118,237777.97832311,80.4880803,372.52569900642897,13339014.78556899,73147.0,61737412.400115356,19.636770722713198,39.0,31.742874697842087,-12.7329446987555,49.685391266925386,-34.658769309663874,-33.925691069102214,468.716509912658,517.025234543239,0.0,-1.0,-1.0,-0.027117818959452866,0.0
2014-10-03,btc,177578.0,1.02941189,4772213722.093183,251562.208950536,70.43676338,357.66571361776704,13342664.78556899,74077.0,67751746.2908743,19.607064793166,45.0,28.831227709880398,-9.197445795459947,50.93848222980577,-35.8927929358021,-34.206705621487906,464.9337121150349,514.8312849256713,0.0,-1.0,-1.0,-0.03988982620070325,0.0
2014-10-04,btc,172315.0,0.9484551999999999,4388682580.260336,265346.439577962,67.04503424,328.826113091759,13346514.78556897,66820.0,65458726.80691705,19.5874534854412,41.0,24.193128463030487,-20.001693536176454,41.15066291169735,-38.614390006426284,-34.83637481933625,460.2973876310771,512.2704967579006,0.0,-1.0,-1.0,-0.08063283515296238,0.0
2014-10-05,btc,247567.0,0.93172895,4309969413.80805,291191.87200438697,41.50796271,322.826261542957,13350739.78556897,66118.0,103834761.63612786,19.610506284272002,53.0,23.351486498947505,-19.374972857666194,37.43647736503545,-41.04343203520015,-35.723097278745385,455.61461640968025,509.66236198829097,0.0,-1.0,-1.0,-0.018246274580777322,0.0
2014-10-06,btc,193513.0,0.95087199,4364384310.694091,277407.641376961,49.77814737,326.803532729398,13354764.78556894,78947.0,87676712.39648098,19.650973492703198,59.0,25.208925267793198,-18.47879406991797,42.70520530260613,-42.40718642254826,-36.67796715643151,451.2268380243609,507.1448904485756,0.0,-1.0,-1.0,0.012320159975311551,1.0
2014-10-07,btc,200932.0,0.97154668,4455868952.722568,230885.863009396,73.74744005,333.570194915254,13358114.78556894,77172.0,60420659.34213603,19.6477264266759,53.0,28.388489330882788,-23.92783761077789,41.84711069180668,-42.57321207570386,-37.52014500204184,447.2190208336855,504.755236321467,0.0,-1.0,-1.0,0.020705596813296756,1.0
2014-10-08,btc,189881.0,1.03194969,4735489718.929567,248116.151293679,55.66115145,354.407334307423,13361714.78556894,79002.0,85077106.66314904,19.6554393574705,41.0,37.23699296125484,-16.354199302643078,43.59011498370052,-39.9067664740596,-37.86109092661581,444.0575140719245,502.6853523245887,0.0,-1.0,-1.0,0.06246703005783494,1.0
2014-10-09,btc,188877.0,1.05462843,4834490053.511129,255805.104174852,55.75480251,361.716424897721,13365414.78556892,82611.0,86709840.87116583,19.641610487227602,44.0,40.03589861130564,-11.676902794242404,53.95481094886093,-36.851382795163744,-37.71684690783694,441.2526742943245,500.7445914424802,0.0,-1.0,-1.0,0.020623417979149128,1.0
2014-10-10,btc,196627.0,1.04743744,4798109635.995668,269697.336979929,64.63928270000001,358.890390810053,13369289.78556889,79459.0,74229004.95361209,19.6433370578366,39.0,39.30603372038221,-11.450298853233534,52.20574328800881,-34.587517652196034,-37.26979987131681,438.44711256071764,498.791642742554,0.0,-1.0,-1.0,-0.00781284424246731,0.0
2014-10-11,btc,164418.0,1.05694518,4839760837.727771,250557.52596845,93.98294471,361.90837697253096,13372889.78556888,65585.0,51496160.84863257,19.6227729606675,42.0,40.55241703237816,-9.658268071210095,52.492084008913146,-32.36665759134368,-36.56935097417779,435.8399222471334,496.90713037186924,0.0,-1.0,-1.0,0.008409214177247826,1.0
2014-10-12,btc,250261.0,1.10393506,5054628618.96669,257517.45724535102,109.97736288,377.871243717124,13376589.78556888,64996.0,45960627.59326756,19.6005679444796,38.0,46.7779435221276,0.6180945302301621,56.12391020636716,-28.526794658520245,-35.42041435765528,433.8652962490258,495.26832814361387,0.0,-1.0,-1.0,0.04410748067819559,1.0
2014-10-13,btc,207310.0,1.14335604,5245064708.897221,269697.336979929,70.68268299,391.994208942139,13380464.78556888,77486.0,74205795.3518862,19.596107314559397,36.0,51.606614097697324,5.074095269134915,62.024596893167526,-23.696701934941288,-33.74559829726757,432.4390133034449,493.8465228257078,0.0,-1.0,-1.0,0.03737507275252594,1.0
2014-10-14,btc,222532.0,1.16884486,5365291551.155062,229677.732137746,65.30550358,400.880592054354,13383764.78556887,82942.0,82156805.43199682,19.5739975835381,50.0,54.409431226518926,2.9842344621969774,62.39192953137879,-18.77438800518291,-31.606853969826908,431.3640176223647,492.5666333841326,0.0,-1.0,-1.0,0.022669679575615165,1.0
2014-10-15,btc,205441.0,1.15308824,5283069667.50673,262737.405703027,71.70795605,394.62587989479795,13387539.78556887,74701.0,73674804.84545863,19.5433198822138,53.0,52.121249306701024,3.059866138381606,57.82600618161109,-15.327604413161815,-29.281246890303322,430.11258178289916,491.21825408808263,0.0,-1.0,-1.0,-0.015602431954869989,0.0
2014-10-16,btc,184416.0,1.11729203,5119758564.702796,257517.45724535102,78.94804644,382.32147632963205,13391239.78556887,75699.0,64849718.209262505,19.5076697261196,40.0,47.85738612914022,2.629557463909116,57.26364214773011,-13.591746223174212,-27.039889652142023,428.48464128642104,489.719039968282,0.0,-1.0,-1.0,-0.031179920507104275,0.0
2014-10-17,btc,180122.0,1.11813531,5119499232.526596,247077.560329999,78.27772729,382.20078959672696,13394789.78556887,68154.0,65401735.7172319,19.4788455368607,39.0,47.81606749597729,6.859778571110176,58.87999452888876,-12.199250540683089,-24.919798350505037,426.90804338637207,488.23880444239865,0.0,-1.0,-1.0,-0.00031566820170214616,0.0
2014-10-18,btc,176676.0,1.14449554,5242894153.666233,285357.18235295697,99.71281197,391.293177089421,13398889.78556887,66863.0,52579944.84184488,19.436343540004,32.0,51.23218909804592,18.996990053594253,64.40189770940934,-10.024212264640227,-22.79185748109577,425.6948702954471,486.9041253419656,0.0,-1.0,-1.0,0.023789557060538202,1.0
2014-10-19,btc,236855.0,1.13688775,5209233125.406048,231417.714956971,121.58517167,388.684497954413,13402214.78556887,65258.0,42844312.78808377,19.381746002871303,38.0,50.21647804166982,20.40052011155622,74.31078975393505,-8.487296395303707,-20.74834875455405,424.43416114565315,485.5519067065815,0.0,-1.0,-1.0,-0.006666814776614016,0.0
2014-10-20,btc,201790.0,1.11540138,5110107339.437174,238377.646233873,75.39200182,381.19085856224405,13405639.78556887,82251.0,67780496.8192171,19.3692746131409,32.0,47.314599418515726,16.642208662377044,67.27568141412415,-7.949548900436272,-18.919948775394367,422.96113551024854,484.11513731678,0.0,-1.0,-1.0,-0.01927949128819606,0.0
2014-10-21,btc,206733.0,1.1273598,5165387968.708736,266217.371341478,95.65474079,385.204633541204,13409464.78556887,80753.0,54000334.181015484,19.323634870181397,33.0,49.014125297819426,15.479332210441687,64.90517900719378,-7.036158794376223,-17.222264492391776,421.67501044622657,482.75340718201545,0.0,-1.0,-1.0,0.010529567771113024,1.0
2014-10-22,btc,201731.0,1.11497797,5107553013.098544,276657.26825683,68.61911024,380.778763296318,13413439.78556887,79124.0,74433390.28129938,19.2785942736193,35.0,47.205853578838266,7.440994143202362,57.86337411021242,-6.73592756603983,-15.724216360055784,420.2819341351038,481.34949212487146,0.0,-1.0,-1.0,-0.011489659935288832,0.0
2014-10-23,btc,198755.0,1.04769288,4794571841.573631,267771.331001111,75.95761711,357.344793103448,13417214.78556887,80410.0,63121672.637133814,19.2419906625327,44.0,39.001324342833506,-1.2085798413796534,41.72207367538262,-8.930642154717782,-14.753705759293213,418.1380640645909,479.6422827885297,0.0,-1.0,-1.0,-0.06154221939797078,0.0
2014-10-24,btc,196085.0,1.04955841,4797920118.279345,284428.084979115,73.02584921,357.48843395675004,13421189.78556887,81413.0,65701668.24672786,19.2024199516162,39.0,39.071227537974686,-0.390636497716923,45.83268011001274,-10.682825766218087,-14.172151474568196,416.07211501376764,477.9605546537074,0.0,-1.0,-1.0,0.0004019671087258647,1.0
2014-10-25,btc,202433.0,1.01613431,4642538389.712173,277272.661457628,107.45734745,345.81124663939204,13425064.78556887,68922.0,43203545.40566601,19.0240549495765,33.0,35.50871403502734,-4.44784684670635,45.17553191961152,-13.29495075701226,-14.04683708634592,413.6787719040082,476.14121607854884,0.0,-1.0,-1.0,-0.03266451780862578,0.0
2014-10-26,btc,214842.0,1.03785791,4741251517.256754,223606.98504647397,116.88875315,353.08195616598505,13428189.78556887,70568.0,40562084.796840444,18.999402692470003,36.0,39.22450438924035,-6.560247164427347,43.824206824804875,-14.451304204212338,-14.10461810318398,411.61462190450646,474.4470228818361,0.0,-1.0,-1.0,0.021025081159881553,1.0
2014-10-27,btc,225066.0,1.02988218,4701468719.300906,284428.084979115,76.27123123,350.01571186440697,13432164.78556887,85089.0,61641442.562155284,18.9968296216328,32.0,38.224265001216935,-10.708958479518847,38.47879549189345,-15.697908549615276,-14.332231024102736,409.51633689431253,472.7339402521142,0.0,-1.0,-1.0,-0.008684228259278837,0.0
2014-10-28,btc,205248.0,1.04388822,4764991907.390337,246862.111491307,89.10214557,354.653805084746,13435614.78566886,87975.0,53477858.21493391,18.98360316791,42.0,40.68806789837228,-11.531310790755436,28.94215237033694,-16.077180355723232,-14.581509500048522,407.6475176564013,471.10829613717755,0.0,-1.0,-1.0,0.013251100059576082,1.0
2014-10-29,btc,200016.0,0.98355448,4483405058.0089855,277272.661457628,68.43989832,333.599350087668,13439489.78566886,94358.0,65508645.80996732,18.898004638609397,39.0,34.049326133145065,-15.464401326998336,30.335806143643364,-18.49453255515941,-15.140512793635793,405.12516523262207,469.2151698413911,0.0,-1.0,-1.0,-0.05936621768952122,0.0
2014-10-30,btc,205736.0,1.01672909,4632838862.435346,304105.499663205,86.32699616,344.609382232613,13443739.78566886,91615.0,53666165.49555414,18.8794676812308,32.0,39.59928839091143,-9.863974804414145,43.66981202781867,-18.848102349031727,-15.67016844440664,403.06377550565435,467.4996851409034,0.0,-1.0,-1.0,0.033003757777260834,1.0
2014-10-31,btc,203137.0,0.99675714,4534584097.182944,336304.905509897,93.44467529,337.18291262419604,13448439.78566886,84518.0,48526939.42151883,18.8710037664584,32.0,37.318062041674345,-11.778593398519863,44.18595380314906,-19.84687902790656,-16.266841384906627,400.819631462313,465.7055756235341,0.0,-1.0,-1.0,-0.021550398774122903,0.0
2014-11-01,btc,173118.0,0.95963351,4363577474.228034,284428.084979115,99.28174159,324.371315020456,13452414.78566886,69360.0,43951459.798154436,18.8551762175134,32.0,33.71021524047356,-17.102741879312543,37.90047132465283,-21.85576223863304,-17.06525864972469,398.21552115678827,463.759785091893,0.0,-1.0,-1.0,-0.037995987115809426,0.0
2014-11-02,btc,267793.0,0.95980572,4363182675.130131,277272.661457628,135.54504133,324.24856662770304,13456289.78566886,76525.0,32189909.95474001,18.838108625822,32.0,33.676621780766084,-16.577952469374626,34.72353112218162,-23.46325762578907,-17.979258503448172,395.6959351472786,461.8390929201177,0.0,-1.0,-1.0,-0.0003784193825684401,0.0
2014-11-03,btc,211234.0,0.96404683,4379538202.27434,302316.643782833,87.99474482,325.361865575687,13460514.78566886,90284.0,49770451.75936882,18.8316201094232,33.0,34.315964468876125,-14.645942244556966,41.22498106313113,-24.59853281935607,-18.92486912000644,393.3000985360149,459.9601706006769,0.0,-1.0,-1.0,0.0034334737684815764,1.0
2014-11-04,btc,209429.0,0.97805226,4438697512.256594,289794.65262023103,59.75671406,329.657703974284,13464564.78566886,90476.0,74279477.74415287,18.817950568066898,38.0,36.845787869517295,-14.420109399067837,40.96717935541725,-24.864328736573338,-19.77336335094457,391.13220494122896,458.16625803676277,0.0,-1.0,-1.0,0.013203263360308304,1.0
2014-11-05,btc,203229.0,1.00559416,4563041057.094629,268264.624126884,66.49847382,338.805765341905,13468014.78566886,89108.0,68618733.55783111,18.7964150978029,37.0,41.97131920195846,-11.022935625679851,48.35710213406343,-23.64325502249911,-20.326205018309505,389.34977431418366,456.5229868614503,0.0,-1.0,-1.0,0.027750182256728317,1.0
2014-11-06,btc,219885.0,1.03634538,4710975207.975009,303181.174870355,66.01759514,349.689911747516,13471864.78566885,90820.0,71359388.3277422,18.7733495907192,50.0,47.43725581387152,-2.142155560586545,59.082970738277986,-20.94372738303768,-20.414422498984962,387.9988138008269,455.0521843459757,0.0,-1.0,-1.0,0.03212503303958636,1.0
2014-11-07,btc,221566.0,1.01476248,4610456396.269497,295306.339159437,75.1957137,342.133288135593,13475614.78566885,83898.0,61312755.33350622,18.7318946359277,40.0,44.3161934800101,-4.295284647730668,58.903780243787146,-19.535533069111093,-20.288866866145835,386.43646562087736,453.49759653304466,0.0,-1.0,-1.0,-0.02160949846725657,0.0
2014-11-08,btc,170855.0,1.02534954,4660062487.584744,301212.465942625,111.37550109,345.716332554062,13479439.78566885,74699.0,41841001.31542775,18.6848813865062,37.0,46.126157418899915,-0.02744678961499325,61.68778981519486,-17.840284817321947,-19.939069430599567,385.04938840195285,452.0137400212782,0.0,-1.0,-1.0,0.010472656542700909,1.0
2014-11-09,btc,253202.0,1.07917955,4902623335.337056,295306.339159437,113.76871709999999,363.61005172413803,13483189.78556884,72914.0,43092894.60360768,18.6522171508436,45.0,54.14262916562933,2.9817710518188267,64.02167324257006,-13.748650419362555,-19.054723857565712,384.31908588929025,450.7966603202193,0.0,-1.0,-1.0,0.0517583853730077,1.0
2014-11-10,btc,214221.0,1.0847227,4929479477.777682,289400.21237624803,60.651672600000005,365.50225394506106,13486864.78556884,89325.0,81275243.80208579,18.648114040926,38.0,54.90676111369147,4.424527687103773,66.85372325846282,-10.2118739388874,-17.79145958346881,383.6781155152656,449.62238702221293,0.0,-1.0,-1.0,0.005203932652441123,1.0
2014-11-11,btc,200922.0,1.09194006,4961998574.957067,253963.451677116,82.37108199,367.825466978375,13490089.78556884,84570.0,60239570.18874692,18.636370879758697,36.0,55.878863628577726,3.713949125819061,68.01623583337673,-7.014781108480568,-16.251934087041914,383.1381161098349,448.49626465208064,0.0,-1.0,-1.0,0.006356220811878144,1.0
2014-11-12,btc,229329.0,1.25193043,5702349216.989918,289400.21237624803,45.76945715,422.59141963763904,13493764.78556884,97750.0,124588526.32535455,18.6266906933076,42.0,71.48464953597771,26.676331811373302,78.36637875463465,2.815749142631637,-13.527979339945695,384.4820404640343,448.139624995602,0.0,-1.0,-1.0,0.14889113880329496,1.0
2014-11-13,btc,213181.0,1.24597359,5694744080.086426,285462.794520789,31.11910104,421.914471654004,13497389.78556884,90507.0,182998347.95867848,18.6419810797965,53.0,71.14965241579687,22.432671136391097,81.18258568483317,9.933053909090686,-10.176403161511926,385.7571264876328,447.7785755597303,0.0,-1.0,-1.0,-0.0016018971332061316,0.0
2014-11-14,btc,223425.0,1.1770508999999998,5378743834.818093,303181.174870355,59.16071821,398.38888281706596,13501239.78556884,85478.0,90917487.10567693,18.6191179201807,42.0,60.53294244901103,18.15215655992819,76.097692166633,12.15190102221458,-6.986645420979568,386.1874104803401,447.09861306455383,0.0,-1.0,-1.0,-0.05575914176328722,0.0
2014-11-15,btc,174268.0,1.11736503,5104708459.692981,275619.249882141,77.03284352,377.99384073641096,13504739.78556884,72643.0,66266649.738905944,18.4772380937747,38.0,53.13117587726518,16.531216921130422,75.75050427940309,11.183429880455511,-4.390920377917415,385.90830741565156,446.1472272427088,0.0,-1.0,-1.0,-0.05119380324179401,0.0
2014-11-16,btc,249080.0,1.15327838,5271091380.888201,295306.339159437,67.93226307,390.20582349503195,13508489.78540504,75533.0,77593342.87591526,18.411913809048702,45.0,56.556594991528904,20.34157237865601,78.37046833322657,11.659039300095543,-2.0980689953441347,386.0546965898198,445.3770654060313,0.0,-1.0,-1.0,0.03230735912212079,1.0
2014-11-17,btc,213572.0,1.14624262,5235948730.382424,283494.08559305896,65.23091556,387.501031560491,13512089.78540504,88054.0,80267901.88912517,18.3753827115873,35.0,55.58755961768816,19.098478512488423,80.28989283023627,11.691840843683744,-0.1280818754830093,386.1039640685252,444.58026894509584,0.0,-1.0,-1.0,-0.00693170570934698,0.0
2014-11-18,btc,208693.0,1.10670813,5053130942.788553,303873.503789399,60.80620486,373.86456458211603,13515939.78540504,87534.0,83102225.41098498,18.281880983212602,45.0,50.85652880879653,13.409927957054668,72.67714999862595,10.113420361370254,1.3349898726388854,385.6870451902628,443.6067049458914,0.0,-1.0,-1.0,-0.03519078884373561,0.0
2014-11-19,btc,212316.0,1.1187722,5105131036.931972,282468.877689125,67.76051185,377.613398012858,13519464.78540504,89108.0,75340798.024042,18.1811259065322,40.0,52.06438555403723,11.45424211768957,72.77371025293392,9.248221409748602,2.465451520797416,385.4120271284348,442.698155587627,0.0,-1.0,-1.0,0.010027249934564386,1.0
2014-11-20,btc,204567.0,1.05691479,4816608899.340706,276458.90156808,68.82294590000001,356.181265341905,13522914.78530504,86184.0,69985508.99200675,18.1178755924374,40.0,45.22137388291078,1.856317090175552,66.94182774608089,6.174174306421088,2.9952690616007978,384.41632007366223,441.5070519929664,0.0,-1.0,-1.0,-0.05675681208277272,0.0
2014-11-21,btc,196858.0,1.04171403,4744260556.958859,254422.322457581,73.98959123,350.748858854471,13526089.78530504,80671.0,64120648.293991014,18.038719447204198,38.0,43.65515094148414,2.5181913066183452,64.86619769739397,3.213712397600027,3.0264752524578307,383.2694827487562,440.25755712803635,0.0,-1.0,-1.0,-0.015251802989186714,0.0
