time,TSI_13_25_13,TSIs_13_25_13
2010-07-19,-99.99999999999999,-99.99999999999999
2010-07-20,-100.0,-100.0
2010-07-21,-98.06161242227313,-99.72308748889617
2010-07-22,-96.66414763389541,-99.28609608103892
2010-07-23,-94.75541100261421,-98.63885535554968
2010-07-24,-93.36345880433458,-97.88522727680467
2010-07-25,-92.34463271097471,-97.0937137674004
2010-07-26,-89.46272991806349,-96.00357321749513
2010-07-27,-86.21334640598047,-94.60496938727876
2010-07-28,-83.50948952770558,-93.01990083591117
2010-07-29,-77.3148653600732,-90.7763243393629
2010-07-30,-72.67603972068738,-88.19056939383783
2010-07-31,-67.9983730812647,-85.30596992061311
2010-08-01,-64.69451834424476,-82.36147683827477
2010-08-02,-62.131496529517285,-79.47147965130941
2010-08-03,-60.041209854082844,-76.6957268231342
2010-08-04,-58.57446660010894,-74.10697536270203
2010-08-05,-56.01084471453337,-71.52181384153509
2010-08-06,-53.66155592767004,-68.97034842526867
2010-08-07,-51.98642505749697,-66.54407365844415
2010-08-08,-49.92039849586679,-64.1692629209331
2010-08-09,-44.879292915078544,-61.413552920096734
2010-08-10,-40.91596889101134,-58.4853266302274
2010-08-11,-37.99909221243423,-55.558721713399805
2010-08-12,-34.57203215005603,-52.5606232043507
2010-08-13,-32.67643155480082,-49.72002439727214
2010-08-14,-30.28831657251379,-46.94406613659238
2010-08-15,-28.674966837249308,-44.3341948081148
2010-08-16,-27.210739491566542,-41.88798690575077
2010-08-17,-24.443836872878308,-39.395965472483276
2010-08-18,-22.584072456468533,-36.994266470195456
2010-08-19,-21.330176794064933,-34.756539373605385
2010-08-20,-20.561051890632196,-32.7286125903235
2010-08-21,-19.588404927414437,-30.851440067050778
2010-08-22,-18.884613770783293,-29.14189345329828
2010-08-23,-18.554252059641406,-27.62937325420444
2010-08-24,-18.235663769821144,-26.2874147564354
2010-08-25,-18.01880634152481,-25.106184982876748
2010-08-26,-18.050702271182445,-24.098258881206135
2010-08-27,-17.656088881483296,-23.17794888124573
2010-08-28,-17.447102105024694,-22.359256484642724
2010-08-29,-17.475925258289468,-21.661637738020833
2010-08-30,-16.9930135849933,-20.994691430445474
2010-08-31,-18.471273424287904,-20.634203143851536
2010-09-01,-18.576740817559568,-20.34027995438126
2010-09-02,-17.88091426813577,-19.988941999203334
2010-09-03,-18.331067949755152,-19.752102849282167
2010-09-04,-17.917123029667522,-19.489962875051503
2010-09-05,-17.79664007238962,-19.248059617528376
2010-09-06,-17.717640373289143,-19.029428296922774
2010-09-07,-17.812651685599178,-18.85560306673369
2010-09-08,-18.004526016936033,-18.73402063104831
2010-09-09,-18.088913791162256,-18.641862511064588
2010-09-10,-18.213966599545106,-18.580734523704663
2010-09-11,-16.357525955598536,-18.263133299689503
2010-09-12,-15.961124144422685,-17.9342748489371
2010-09-13,-15.104714532687042,-17.530051946615664
2010-09-14,-14.499077928444658,-17.09705565830552
2010-09-15,-14.953130147920403,-16.790780585393364
2010-09-16,-14.085278448880027,-16.404280280177176
2010-09-17,-14.568204829337907,-16.14198378720014
2010-09-18,-14.111339372961368,-15.851891728023173
2010-09-19,-12.285703975569337,-15.342436334815483
2010-09-20,-11.204108683114473,-14.751246670286768
2010-09-21,-9.846301127381357,-14.050540164157425
2010-09-22,-9.277364200970462,-13.368657883702145
2010-09-23,-8.565295542123577,-12.682463263476635
2010-09-24,-7.926763219687594,-12.003077542935342
2010-09-25,-7.530509109172802,-11.36413919525498
2010-09-26,-7.209147675806883,-10.770568978190965
2010-09-27,-6.730540844566406,-10.193422101958886
2010-09-28,-6.590122273110143,-9.678664983551924
2010-09-29,-6.461789005151111,-9.219111272351807
2010-09-30,-6.360009508534946,-8.810668163235112
2010-10-01,-6.181644995649683,-8.435093425008624
2010-10-02,-6.670716898731406,-8.18303963554045
2010-10-03,-7.489501592022519,-8.083962772180746
2010-10-04,-7.876136268170746,-8.054273271607888
2010-10-05,-8.055422019118554,-8.054437378395127
2010-10-06,-6.031803800626254,-7.765489724428146
2010-10-07,1.7879927528580772,-6.400706513387257
2010-10-08,25.760741967483867,-1.806213873262811
2010-10-09,44.06100829446421,4.746246436412477
2010-10-10,55.29432653104911,11.967400735646281
2010-10-11,59.75812668990875,18.79464730054092
2010-10-12,62.57219577806524,25.048582797330106
2010-10-13,66.53889163559319,30.975769774224837
2010-10-14,66.67063569588369,36.075036334461814
2010-10-15,67.24997206131117,40.52859858115458
2010-10-16,64.56187955000955,43.961924433848154
2010-10-17,62.77771345975313,46.64989429469173
2010-10-18,61.50518614279562,48.77207884442086
2010-10-19,57.18442541196612,49.97384263978447
2010-10-20,54.15753444448207,50.57151289759842
2010-10-21,53.37040774567457,50.971355018752156
2010-10-22,50.06131289047479,50.84134900042682
2010-10-23,47.980224092630756,50.43261687074167
2010-10-24,48.44854499876653,50.14917803188808
2010-10-25,52.88485083613915,50.53998843249538
2010-10-26,57.40035504165486,51.520040805232455
2010-10-27,64.10994309846878,53.31859827569478
2010-10-28,62.73557201280864,54.66388023813962
2010-10-29,63.13274781007344,55.873718462701596
2010-10-30,63.89364540787752,57.019422312012445
2010-10-31,62.99392150050583,57.87292219608293
2010-11-01,62.473895550013026,58.530204103787234
2010-11-02,61.8995518557879,59.01153949693019
2010-11-03,61.27851989585341,59.33539383963351
2010-11-04,62.91944527106098,59.8474011869803
2010-11-05,65.62097998046984,60.67219815747881
2010-11-06,72.73196038635729,62.39502133303288
